                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3586,                 1.3665,                 1.5989,                0.81406,                0.74755,                0.82469,                0.49721,                  1.373,                 1.0365,                 1.6522,              0.0096832,              0.0096832,              0.0096832
                     35,                 1.3446,                 1.3616,                 1.5899,                0.82407,                0.75819,                0.83478,                0.50623,                 1.3611,                 1.0114,                 1.6366,              0.0096733,              0.0096733,              0.0096733
                     36,                 1.3369,                 1.3436,                 1.5817,                0.83171,                0.76393,                0.84001,                 0.5098,                 1.3556,                0.99935,                 1.6287,              0.0096634,              0.0096634,              0.0096634
                     37,                 1.3347,                 1.3385,                 1.5821,                0.83922,                0.75179,                0.83889,                0.51085,                 1.3515,                0.99064,                 1.6323,              0.0096535,              0.0096535,              0.0096535
                     38,                 1.3342,                 1.3309,                 1.5714,                0.83206,                0.76776,                0.84594,                0.51495,                 1.3419,                0.97763,                 1.6156,              0.0096436,              0.0096436,              0.0096436
                     39,                 1.3266,                 1.3202,                 1.5729,                 0.8377,                0.77396,                0.84862,                0.51936,                 1.3294,                 0.9727,                 1.6057,              0.0096337,              0.0096337,              0.0096337
                     40,                 1.3257,                  1.314,                 1.5698,                 0.8336,                0.77307,                0.85286,                0.52418,                 1.3263,                0.95995,                 1.5975,              0.0096238,              0.0096238,              0.0096238
                     41,                 1.3153,                 1.2937,                  1.563,                0.83995,                 0.7775,                0.85829,                0.53117,                 1.3171,                0.94363,                 1.5909,              0.0096139,              0.0096139,              0.0096139
                     42,                 1.3126,                 1.2836,                  1.563,                0.85245,                0.77034,                0.86009,                0.53297,                  1.308,                0.93543,                 1.5883,               0.009604,               0.009604,               0.009604
                     43,                 1.3104,                 1.2791,                 1.5521,                0.84061,                0.78339,                0.86517,                0.53714,                 1.3039,                 0.9237,                 1.5792,              0.0095941,              0.0095941,              0.0095941
                     44,                 1.3087,                 1.2864,                 1.5556,                0.84639,                0.79054,                 0.8681,                0.54371,                 1.2922,                0.91403,                 1.5691,              0.0095842,              0.0095842,              0.0095842
                     45,                 1.3068,                 1.2677,                 1.5527,                0.84382,                0.79565,                0.87073,                0.54643,                 1.2885,                0.90238,                 1.5648,              0.0095743,              0.0095743,              0.0095743
                     46,                 1.3052,                 1.2615,                 1.5497,                0.85293,                0.79263,                0.87167,                0.55119,                 1.2794,                0.89322,                 1.5575,              0.0095644,              0.0095644,              0.0095644
                     47,                 1.2991,                 1.2536,                 1.5444,                0.84869,                0.79708,                0.87284,                0.55347,                 1.2716,                0.88659,                 1.5492,              0.0095545,              0.0095545,              0.0095545
                     48,                 1.3013,                  1.265,                  1.547,                 0.8584,                0.79627,                0.87278,                0.55539,                 1.2663,                0.88266,                 1.5429,              0.0095446,              0.0095446,              0.0095446
                     49,                 1.2936,                 1.2467,                 1.5386,                0.85782,                0.80101,                0.87505,                0.55714,                 1.2648,                0.87379,                 1.5406,              0.0095347,              0.0095347,              0.0095347
                     50,                 1.2834,                 1.2285,                  1.531,                0.85883,                0.80498,                0.87911,                0.56164,                 1.2597,                0.86499,                 1.5348,              0.0095248,              0.0095248,              0.0095248
                     51,                 1.2897,                 1.2316,                 1.5354,                0.85998,                0.80834,                 0.8815,                0.56531,                 1.2542,                0.85467,                 1.5294,              0.0095149,              0.0095149,              0.0095149
                     52,                 1.2824,                 1.2151,                 1.5209,                0.86008,                 0.8128,                0.88416,                0.56946,                 1.2463,                0.84536,                  1.523,               0.009505,               0.009505,               0.009505
                     53,                 1.2821,                 1.2292,                 1.5285,                0.86427,                  0.813,                 0.8869,                0.57346,                 1.2419,                0.83883,                 1.5179,              0.0094951,              0.0094951,              0.0094951
                     54,                 1.2704,                 1.2159,                  1.516,                 0.8657,                0.81243,                0.88842,                0.57556,                  1.238,                0.83439,                  1.514,              0.0094852,              0.0094852,              0.0094852
                     55,                 1.2732,                 1.2045,                 1.5251,                0.86551,                0.81682,                0.89012,                0.57751,                 1.2334,                0.82835,                 1.5094,              0.0094753,              0.0094753,              0.0094753
                     56,                 1.2743,                 1.1997,                 1.5159,                0.86819,                0.81628,                0.89179,                0.57873,                 1.2296,                0.82196,                 1.5059,              0.0094654,              0.0094654,              0.0094654
                     57,                 1.2709,                 1.2022,                 1.5183,                0.86881,                0.81609,                0.89198,                0.58145,                 1.2251,                0.81772,                  1.502,              0.0094555,              0.0094555,              0.0094555
                     58,                  1.268,                 1.1851,                 1.5081,                  0.873,                0.81878,                  0.893,                0.58264,                 1.2202,                0.81176,                 1.4982,              0.0094456,              0.0094456,              0.0094456
                     59,                 1.2639,                 1.1753,                 1.5046,                0.87258,                0.81946,                0.89343,                0.58349,                 1.2154,                0.80775,                 1.4938,              0.0094357,              0.0094357,              0.0094357
                     60,                  1.261,                  1.174,                 1.5038,                0.87055,                0.82313,                0.89479,                0.58669,                  1.212,                0.80329,                 1.4908,              0.0094258,              0.0094258,              0.0094258
                     61,                 1.2624,                 1.1807,                 1.5088,                0.87093,                0.82659,                0.89594,                0.58822,                 1.2081,                0.79893,                 1.4871,              0.0094159,              0.0094159,              0.0094159
                     62,                 1.2513,                 1.1594,                 1.4961,                0.87316,                0.82555,                0.89667,                0.58957,                  1.205,                0.79531,                 1.4844,               0.009406,               0.009406,               0.009406
                     63,                 1.2544,                 1.1662,                 1.5057,                0.87386,                0.82708,                0.89849,                0.59217,                 1.2015,                0.79094,                 1.4812,              0.0093961,              0.0093961,              0.0093961
                     64,                 1.2488,                 1.1537,                  1.491,                0.87469,                0.82957,                0.89947,                0.59364,                 1.1989,                0.78738,                 1.4784,              0.0093862,              0.0093862,              0.0093862
                     65,                 1.2542,                 1.1612,                 1.5008,                0.87623,                  0.832,                0.90074,                0.59527,                 1.1963,                0.78478,                 1.4759,              0.0093763,              0.0093763,              0.0093763
                     66,                 1.2472,                 1.1491,                 1.4906,                 0.8765,                0.83177,                0.90131,                0.59652,                 1.1935,                0.78148,                 1.4731,              0.0093664,              0.0093664,              0.0093664
                     67,                 1.2412,                 1.1464,                 1.4885,                0.87399,                0.83478,                0.90224,                0.59794,                 1.1909,                 0.7779,                 1.4708,              0.0093565,              0.0093565,              0.0093565
