                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2254,                 1.1113,                 1.4844,                 0.8708,                0.83621,                0.90393,                0.59574,                 1.2118,                 0.7702,                 1.4857,              0.0096832,              0.0096832,              0.0096832
                     35,                  1.216,                 1.1005,                 1.4792,                0.87681,                 0.8363,                 0.9063,                0.60265,                  1.196,                0.76273,                 1.4732,              0.0096733,              0.0096733,              0.0096733
                     36,                 1.2219,                  1.095,                 1.4763,                0.88724,                0.84136,                0.91315,                0.60988,                 1.1757,                0.74035,                 1.4577,              0.0096634,              0.0096634,              0.0096634
                     37,                 1.2119,                 1.0827,                 1.4689,                0.88547,                0.85659,                0.91868,                0.61556,                 1.1734,                0.72973,                 1.4496,              0.0096535,              0.0096535,              0.0096535
                     38,                 1.2032,                 1.0631,                 1.4626,                0.89733,                0.85039,                0.92187,                0.62296,                 1.1564,                0.71509,                 1.4407,              0.0096436,              0.0096436,              0.0096436
                     39,                 1.1932,                 1.0551,                 1.4542,                0.90075,                 0.8523,                0.92423,                0.63138,                 1.1396,                0.70158,                 1.4231,              0.0096337,              0.0096337,              0.0096337
                     40,                 1.1929,                 1.0519,                 1.4469,                0.89056,                0.86482,                0.92878,                0.63743,                 1.1263,                0.68594,                 1.4092,              0.0096238,              0.0096238,              0.0096238
                     41,                 1.1828,                 1.0392,                  1.441,                0.89903,                0.86808,                0.93369,                0.64287,                 1.1193,                0.67408,                    1.4,              0.0096139,              0.0096139,              0.0096139
                     42,                 1.1769,                  1.031,                 1.4357,                0.89813,                0.87766,                 0.9372,                0.64946,                 1.1079,                0.66042,                 1.3884,               0.009604,               0.009604,               0.009604
                     43,                 1.1685,                 1.0203,                 1.4335,                0.90962,                0.87916,                0.94012,                0.65434,                 1.0941,                0.64697,                 1.3787,              0.0095941,              0.0095941,              0.0095941
                     44,                 1.1641,                  1.012,                 1.4253,                0.90538,                0.88636,                0.94316,                0.66369,                 1.0797,                0.63494,                 1.3658,              0.0095842,              0.0095842,              0.0095842
                     45,                 1.1658,                 1.0163,                  1.432,                0.90454,                0.89315,                 0.9452,                0.66693,                 1.0705,                0.62752,                 1.3565,              0.0095743,              0.0095743,              0.0095743
                     46,                  1.158,                 1.0061,                 1.4276,                0.90721,                0.89394,                0.94707,                0.66974,                 1.0659,                0.62074,                 1.3512,              0.0095644,              0.0095644,              0.0095644
                     47,                  1.162,                 1.0034,                 1.4232,                 0.9139,                0.89001,                0.94818,                0.67279,                 1.0583,                0.61358,                 1.3458,              0.0095545,              0.0095545,              0.0095545
                     48,                 1.1554,                0.99775,                  1.419,                  0.913,                0.89695,                0.94974,                0.67864,                 1.0459,                0.60906,                 1.3364,              0.0095446,              0.0095446,              0.0095446
                     49,                 1.1487,                0.98087,                 1.4134,                 0.9151,                0.90045,                0.95144,                0.68261,                 1.0397,                0.59854,                 1.3293,              0.0095347,              0.0095347,              0.0095347
                     50,                 1.1391,                0.97675,                 1.4046,                0.91381,                0.90563,                 0.9537,                0.68673,                 1.0256,                0.58973,                 1.3163,              0.0095248,              0.0095248,              0.0095248
                     51,                 1.1372,                0.96515,                 1.4026,                0.91354,                0.90743,                0.95482,                0.69162,                 1.0174,                0.58286,                 1.3091,              0.0095149,              0.0095149,              0.0095149
                     52,                 1.1302,                0.95642,                 1.3995,                0.92034,                 0.9091,                0.95638,                 0.6943,                 1.0124,                0.57804,                 1.3049,               0.009505,               0.009505,               0.009505
                     53,                 1.1256,                0.94949,                  1.394,                0.91896,                0.90852,                0.95663,                0.69632,                 1.0061,                0.57258,                 1.2999,              0.0094951,              0.0094951,              0.0094951
                     54,                 1.1224,                0.94925,                 1.3861,                0.92014,                0.90658,                0.95723,                0.69885,                0.99986,                0.56847,                 1.2932,              0.0094852,              0.0094852,              0.0094852
                     55,                 1.1216,                0.94006,                 1.3876,                0.91891,                0.91001,                0.95733,                0.70152,                0.99482,                0.56487,                 1.2878,              0.0094753,              0.0094753,              0.0094753
                     56,                 1.1081,                0.93852,                 1.3825,                0.92358,                0.90814,                0.95822,                0.70233,                0.98943,                0.56146,                  1.283,              0.0094654,              0.0094654,              0.0094654
                     57,                 1.1113,                0.94028,                 1.3879,                0.92299,                 0.9074,                0.95896,                0.70419,                0.98479,                0.55766,                 1.2791,              0.0094555,              0.0094555,              0.0094555
                     58,                 1.1071,                 0.9276,                 1.3804,                0.92457,                 0.9077,                0.95885,                0.70615,                0.98043,                0.55459,                 1.2754,              0.0094456,              0.0094456,              0.0094456
                     59,                 1.1034,                0.92106,                 1.3707,                0.92407,                 0.9113,                0.95946,                0.70846,                0.97621,                0.55065,                  1.271,              0.0094357,              0.0094357,              0.0094357
                     60,                 1.1021,                0.91457,                 1.3725,                0.92298,                0.91409,                0.96019,                0.71013,                0.97221,                0.54709,                 1.2677,              0.0094258,              0.0094258,              0.0094258
                     61,                 1.0954,                0.91717,                 1.3718,                0.92302,                0.91554,                 0.9607,                0.71246,                0.96865,                0.54294,                 1.2645,              0.0094159,              0.0094159,              0.0094159
